3.1620 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
101.3549 	EXP 	fixation: autoDraw = True
102.3543 	EXP 	fixation: autoDraw = False
102.3543 	EXP 	grating: autoDraw = True
102.6544 	EXP 	grating: autoDraw = False
103.2263 	EXP 	New trial (rep=40, index=0): None
103.2287 	DATA 	Keypress: down
103.2376 	EXP 	fixation: autoDraw = False
103.2376 	EXP 	grating: autoDraw = False
103.2376 	EXP 	grating: ori = 0.0
103.2376 	EXP 	fixation: autoDraw = True
104.2373 	EXP 	fixation: autoDraw = False
104.2373 	EXP 	grating: autoDraw = True
104.5370 	EXP 	grating: autoDraw = False
104.9591 	EXP 	New trial (rep=41, index=0): None
104.9613 	DATA 	Keypress: up
104.9702 	EXP 	fixation: autoDraw = False
104.9702 	EXP 	grating: autoDraw = False
104.9702 	EXP 	grating: ori = -1.0
104.9702 	EXP 	fixation: autoDraw = True
105.9701 	EXP 	fixation: autoDraw = False
105.9701 	EXP 	grating: autoDraw = True
106.2696 	EXP 	grating: autoDraw = False
106.5583 	EXP 	New trial (rep=42, index=0): None
106.5610 	DATA 	Keypress: up
106.5695 	EXP 	fixation: autoDraw = False
106.5695 	EXP 	grating: autoDraw = False
106.5695 	EXP 	grating: ori = 0.0
106.5695 	EXP 	fixation: autoDraw = True
107.5698 	EXP 	fixation: autoDraw = False
107.5698 	EXP 	grating: autoDraw = True
107.8693 	EXP 	grating: autoDraw = False
108.3585 	EXP 	New trial (rep=43, index=0): None
108.3608 	DATA 	Keypress: up
108.3691 	EXP 	fixation: autoDraw = False
108.3691 	EXP 	grating: autoDraw = False
108.3691 	EXP 	grating: ori = -2.0
108.3691 	EXP 	fixation: autoDraw = True
109.3689 	EXP 	fixation: autoDraw = False
109.3689 	EXP 	grating: autoDraw = True
109.6686 	EXP 	grating: autoDraw = False
110.7065 	EXP 	New trial (rep=44, index=0): None
110.7085 	DATA 	Keypress: down
110.7182 	EXP 	fixation: autoDraw = False
110.7182 	EXP 	grating: autoDraw = False
110.7182 	EXP 	grating: ori = -4.0
110.7182 	EXP 	fixation: autoDraw = True
111.7182 	EXP 	fixation: autoDraw = False
111.7182 	EXP 	grating: autoDraw = True
112.0178 	EXP 	grating: autoDraw = False
112.8397 	EXP 	New trial (rep=45, index=0): None
112.8420 	DATA 	Keypress: down
112.8510 	EXP 	fixation: autoDraw = False
112.8510 	EXP 	grating: autoDraw = False
112.8510 	EXP 	grating: ori = 0.0
112.8510 	EXP 	fixation: autoDraw = True
113.8505 	EXP 	fixation: autoDraw = False
113.8505 	EXP 	grating: autoDraw = True
114.1503 	EXP 	grating: autoDraw = False
115.3390 	EXP 	New trial (rep=46, index=0): None
115.3412 	DATA 	Keypress: up
115.3502 	EXP 	fixation: autoDraw = False
115.3502 	EXP 	grating: autoDraw = False
115.3502 	EXP 	grating: ori = -1.0
115.3502 	EXP 	fixation: autoDraw = True
116.3497 	EXP 	fixation: autoDraw = False
116.3497 	EXP 	grating: autoDraw = True
116.6493 	EXP 	grating: autoDraw = False
117.2213 	EXP 	New trial (rep=47, index=0): None
117.2237 	DATA 	Keypress: up
117.2329 	EXP 	fixation: autoDraw = False
117.2329 	EXP 	grating: autoDraw = False
117.2329 	EXP 	grating: ori = 0.0
117.2329 	EXP 	fixation: autoDraw = True
118.2323 	EXP 	fixation: autoDraw = False
118.2323 	EXP 	grating: autoDraw = True
118.5325 	EXP 	grating: autoDraw = False
119.1204 	EXP 	New trial (rep=48, index=0): None
119.1224 	DATA 	Keypress: up
119.1320 	EXP 	fixation: autoDraw = False
119.1320 	EXP 	grating: autoDraw = False
119.1320 	EXP 	grating: ori = 0.0
119.1320 	EXP 	fixation: autoDraw = True
120.1318 	EXP 	fixation: autoDraw = False
120.1318 	EXP 	grating: autoDraw = True
120.4320 	EXP 	grating: autoDraw = False
121.0454 	EXP 	New trial (rep=49, index=0): None
121.0471 	DATA 	Keypress: up
121.0497 	EXP 	fixation: autoDraw = False
121.0497 	EXP 	grating: autoDraw = False
121.0497 	EXP 	grating: ori = 0.0
121.0497 	EXP 	fixation: autoDraw = True
122.0480 	EXP 	grating: autoDraw = True
122.0647 	EXP 	fixation: autoDraw = False
122.3475 	EXP 	grating: autoDraw = False
123.3027 	EXP 	New trial (rep=50, index=0): None
123.3050 	DATA 	Keypress: up
123.3141 	EXP 	fixation: autoDraw = False
123.3141 	EXP 	grating: autoDraw = False
123.3141 	EXP 	grating: ori = 0.0
123.3141 	EXP 	fixation: autoDraw = True
124.3133 	EXP 	fixation: autoDraw = False
124.3133 	EXP 	grating: autoDraw = True
124.6133 	EXP 	grating: autoDraw = False
125.0326 	EXP 	New trial (rep=51, index=0): None
125.0342 	DATA 	Keypress: up
125.0463 	EXP 	fixation: autoDraw = False
125.0463 	EXP 	grating: autoDraw = False
125.0463 	EXP 	grating: ori = 0.0
125.0463 	EXP 	fixation: autoDraw = True
126.0465 	EXP 	fixation: autoDraw = False
126.0465 	EXP 	grating: autoDraw = True
126.3463 	EXP 	grating: autoDraw = False
126.7318 	DATA 	Keypress: up
126.7487 	EXP 	New trial (rep=52, index=0): None
126.7625 	EXP 	fixation: autoDraw = False
126.7625 	EXP 	grating: autoDraw = False
126.7625 	EXP 	grating: ori = -2.0
126.7625 	EXP 	fixation: autoDraw = True
127.7626 	EXP 	fixation: autoDraw = False
127.7626 	EXP 	grating: autoDraw = True
128.0622 	EXP 	grating: autoDraw = False
128.5144 	EXP 	New trial (rep=53, index=0): None
